Name,Type
TSTM WIND G45,THUNDERSTORM
TSTM WIND G58,THUNDERSTORM
TSTM WIND/HAIL,HAIL
TSTM WINDS,THUNDERSTORM
TSTM WND,THUNDERSTORM
TSTMW,THUNDERSTORM
TSUNAMI,TSUNAMI
TUNDERSTORM WIND,WIND
TYPHOON,TYPHOON
Unseasonable Cold,COLD
UNSEASONABLY COLD,COLD
UNSEASONABLY COOL,COLD
UNSEASONABLY COOL & WET,COLD
UNSEASONABLY DRY,DRY
UNSEASONABLY HOT,HEAT
UNSEASONABLY WARM,HEAT
UNSEASONABLY WARM & WET,HEAT
UNSEASONABLY WARM AND DRY,HEAT
UNSEASONABLY WARM YEAR,HEAT
UNSEASONABLY WARM/WET,HEAT
UNSEASONABLY WET,WET WEATHER
UNSEASONAL LOW TEMP,RECORD TEMPERATURE
UNSEASONAL RAIN,RAIN
UNUSUAL WARMTH,HEAT
UNUSUAL/RECORD WARMTH,HEAT
UNUSUALLY COLD,COLD
UNUSUALLY LATE SNOW,SNOW
UNUSUALLY WARM,HEAT
URBAN AND SMALL,URBAN
URBAN AND SMALL STREAM,URBAN
URBAN AND SMALL STREAM FLOOD,FLOOD
URBAN AND SMALL STREAM FLOODIN,FLOOD
URBAN FLOOD,FLOOD
Urban flood,FLOOD
Urban Flood,FLOOD
URBAN FLOOD LANDSLIDE,FLOOD
URBAN FLOODING,FLOOD
Urban Flooding,FLOOD
URBAN FLOODS,FLOOD
URBAN SMALL,URBAN
URBAN SMALL STREAM FLOOD,FLOOD
URBAN/SMALL,URBAN
URBAN/SMALL FLOODING,FLOOD
URBAN/SMALL STREAM,URBAN
URBAN/SMALL STREAM  FLOOD,FLOOD
URBAN/SMALL STREAM FLOOD,FLOOD
URBAN/SMALL STREAM FLOODING,FLOOD
URBAN/SMALL STRM FLDG,URBAN
URBAN/SML STREAM FLD,URBAN
URBAN/SML STREAM FLDG,URBAN
URBAN/STREET FLOODING,FLOOD
VERY DRY,DRY
VERY WARM,HEAT
VOG,VOG
Volcanic Ash,VOLCANIC
VOLCANIC ASH,VOLCANIC
Volcanic Ash Plume,VOLCANIC
VOLCANIC ASHFALL,VOLCANIC
VOLCANIC ERUPTION,VOLCANIC
WAKE LOW WIND,WIND
WALL CLOUD,WALL CLOUD
WALL CLOUD/FUNNEL CLOUD,FUNNEL CLOUD
WARM DRY CONDITIONS,HEAT
WARM WEATHER,HEAT
WATER SPOUT,WATERSPOUT
WATERSPOUT,WATERSPOUT
WATERSPOUT,WATERSPOUT
WATERSPOUT-,WATERSPOUT
WATERSPOUT FUNNEL CLOUD,WATERSPOUT
WATERSPOUT TORNADO,TORNADO
WATERSPOUT/,WATERSPOUT
WATERSPOUT/ TORNADO,TORNADO
WATERSPOUT/TORNADO,TORNADO
WATERSPOUTS,WATERSPOUT
WATERSPOUT-TORNADO,TORNADO
WAYTERSPOUT,WAYTERSPOUT
wet micoburst,WET WEATHER
WET MICROBURST,WET WEATHER
Wet Month,WET WEATHER
WET SNOW,SNOW
WET WEATHER,WET WEATHER
Wet Year,WET WEATHER
Whirlwind,WIND
WHIRLWIND,WIND
WILD FIRES,FIRE
WILD/FOREST FIRE,FIRE
WILD/FOREST FIRES,FIRE
WILDFIRE,FIRE
WILDFIRES,FIRE
WIND,WIND
WIND,WIND
Wind,WIND
WIND ADVISORY,WIND
WIND AND WAVE,WIND
WIND CHILL,WIND
WIND CHILL/HIGH WIND,WIND
WIND DAMAGE,WIND
Wind Damage,WIND
WIND GUSTS,WIND
WIND STORM,WIND
WIND/HAIL,HAIL
WINDS,WIND
WINTER MIX,WINTER MIX
WINTER STORM,WINTER STORM
WINTER STORM HIGH WINDS,WIND
WINTER STORM/HIGH WIND,WIND
WINTER STORM/HIGH WINDS,WIND
WINTER STORMS,WINTER STORM
WINTER WEATHER,COLD
Winter Weather,COLD
WINTER WEATHER MIX,COLD
WINTER WEATHER/MIX,COLD
WINTERY MIX,WINTER MIX
WINTRY MIX,WINTER MIX
Wintry Mix,WINTER MIX
Wintry mix,WINTER MIX
WND,WIND
